#r   #count
0    0
0.1    0
0.2    0
0.3    0
0.4    0
0.5    0
0.6    0
0.7    0
0.8    0
0.9    0
1    0
1.1    0
1.2    0
1.3    0
1.4    0
1.5    0
1.6    0
1.7    0
1.8    0
1.9    0
2    0
2.1    0
2.2    0
2.3    0
2.4    0
2.5    0
2.6    0
2.7    0
2.8    0
2.9    0
3    0
3.1    0
3.2    0
3.3    0
3.4    0
3.5    0
3.6    0
3.7    0
3.8    0
3.9    0
4    0
4.1    0
4.2    0
4.3    0
4.4    0
4.5    0
4.6    4.03066
4.7    0
4.8    0
4.9    0
5    0
5.1    0
5.2    7.86553
5.3    0
5.4    2.91538
5.5    1.40469
5.6    2.70906
5.7    0
5.8    0
5.9    0
6    0
6.1    0
6.2    0
6.3    2.13622
6.4    0
6.5    4.0116
6.6    0.972512
6.7    2.83045
6.8    0
6.9    0.889195
7    0
7.1    0.839461
7.2    1.63229
7.3    7.93785
7.4    2.317
7.5    3.00695
7.6    0.731957
7.7    4.27768
7.8    2.77867
7.9    1.35416
8    1.32031
8.1    2.57542
8.2    1.88446
8.3    4.29112
8.4    1.19684
8.5    2.33737
8.6    0
8.7    1.11527
8.8    2.7248
8.9    0
9    1.56263
9.1    0.50943
9.2    4.98356
9.3    4.87639
9.4    2.86358
9.5    2.33608
9.6    0
9.7    2.24026
9.8    0.877815
9.9    3.87037
10    3.79296
